"","Date_reported","Country_code","Country","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","stay_home_requirements","New_infectious","lag_infectious","stay_home_diff_07","stay_home_diff_05","stay_home_diff_03","lag_stay_home","lag_stay_home_diff_07","lag_stay_home_diff_05","lag_stay_home_diff_03","lag_stay_home_diff_01","New_infec_07ma","lag_infec_07ma","New_infec_05ma","lag_infec_05ma","New_infec_03ma","lag_infec_03ma","delta_infectious","delta_infec_07ma","delta_infec_05ma","delta_infec_03ma"
"174",2020-11-21,"IT","Italy","Europe",37239,1345767,699,48569,"2",-3663,238464,"0","0","0","2","0","0","0","0",-2799.14285714286,237051.428571429,-2454,238167.4,-2649.66666666667,238856.666666667,-1.5360809178744,-1.18081670041462,-1.03036771615259,-1.10931241888441
"175",2020-11-22,"IT","Italy","Europe",34764,1380531,692,49261,"2",-2485,235979,"0","0","0","2","0","0","0","0",-3665.57142857143,233385.857142857,-3602.8,234564.6,-3929.33333333333,234927.333333333,-1.05305980616919,-1.57060563713923,-1.53595214282121,-1.67257393066225
"176",2020-11-23,"IT","Italy","Europe",28337,1408868,562,49823,"2",-5640,230339,"0","0","0","2","0","0","0","0",-5058,228327.857142857,-5035.4,229529.2,-4183.33333333333,230744,-2.44856494123878,-2.21523561044738,-2.1937949507078,-1.81297599648673
"177",2020-11-24,"IT","Italy","Europe",22927,1431795,630,50453,"2",-4425,225914,"0","0","0","2","0","0","0","0",-5825.71428571429,222502.142857143,-5988.4,223540.8,-6343,224401,-1.95870995157449,-2.61827333926158,-2.67888457051241,-2.82663624493652
"178",2020-11-25,"IT","Italy","Europe",23227,1455022,853,51306,"2",-8964,216950,"0","0","0","2","0","0","0","0",-6573.42857142857,215928.714285714,-6926.4,216614.4,-7272.33333333333,217128.666666667,-4.1318276100484,-3.04425865414578,-3.19757135259706,-3.34931975817718
"179",2020-11-26,"IT","Italy","Europe",25852,1480874,722,52028,"2",-8428,208522,"0","0","0","2","0","0","0","0",-7425.42857142857,208503.285714286,-7577.8,209036.6,-8189,208939.666666667,-4.0417797642455,-3.56130050708348,-3.62510679947913,-3.91931323077316
"180",2020-11-27,"IT","Italy","Europe",29001,1509875,822,52850,"2",-7175,201347,"0","0","0","2","0","0","0","0",-7718.42857142857,200784.857142857,-8382.6,200654,-8166.66666666667,200773,-3.56349982865402,-3.84412882587901,-4.17763912007735,-4.06761201290346
"181",2020-11-28,"IT","Italy","Europe",28342,1538217,827,53677,"2",-8897,192450,"0","0","0","2","0","0","0","0",-8022.14285714286,192762.714285714,-8128,192526,-8173.66666666667,192599.333333333,-4.62301896596519,-4.16166730525094,-4.22176744959122,-4.2438706952949
"182",2020-11-29,"IT","Italy","Europe",26315,1564532,686,54363,"2",-8449,184001,"0","0","0","2","0","0","0","0",-7295.85714285714,185466.857142857,-7752.6,184773.4,-8345.66666666667,184253.666666667,-4.59182287052788,-3.9337794661811,-4.19573380151039,-4.52944400925536
"183",2020-11-30,"IT","Italy","Europe",20646,1585178,541,54904,"2",-7691,176310,"0","0","0","2","0","0","0","0",-6826.57142857143,178640.285714286,-7093.6,177679.8,-7563.66666666667,176690,-4.36220293800692,-3.82140646566684,-3.9923502840503,-4.28075537193201
"184",2020-10-01,"PL","Poland","Europe",1552,91514,30,2513,"0",578,9841,"0","0","0","0","0","0","0","0",644.285714285714,10007.2857142857,657.4,9960.2,674.666666666667,9925.33333333333,5.87338685092978,6.43816647870837,6.60026907090219,6.79742074153681
"185",2020-10-02,"PL","Poland","Europe",1967,93481,30,2543,"0",831,10672,"0","0","0","0","0","0","0","0",388.571428571429,10395.8571428571,702.4,10662.6,704.666666666667,10630,7.78673163418291,3.73775267620343,6.58751148875509,6.62903731577297
"186",2020-10-03,"PL","Poland","Europe",2292,95773,27,2570,"0",705,11377,"0","0","0","0","0","0","0","0",685.142857142857,11081,309.4,10972,773,11403,6.1967126659049,6.1830417574484,2.81990521327014,6.77891782864159
"187",2020-10-04,"PL","Poland","Europe",2367,98140,34,2604,"0",783,12160,"0","0","0","0","0","0","0","0",727.285714285714,11808.2857142857,720.6,11692.6,46,11449,6.43914473684211,6.15911345544291,6.16287224398337,0.401781815005677
"188",2020-10-05,"PL","Poland","Europe",0,98140,0,2604,"0",-1350,10810,"0","0","0","0","0","0","0","0",852,12660.2857142857,736.4,12429,689,12138,-12.4884366327475,6.72970594209113,5.92485316598278,5.67638820233976
"189",2020-10-06,"PL","Poland","Europe",3940,102080,55,2659,"0",2634,13444,"0","0","0","0","0","0","0","0",1063.71428571429,13724,885.6,13314.6,731.333333333333,12869.3333333333,19.59238321928,7.75075987841945,6.65134513992159,5.68276004973063
"190",2020-10-07,"PL","Poland","Europe",2236,104316,58,2717,"0",910,14354,"0","0","0","0","0","0","0","0",1312.57142857143,15036.5714285714,1191.6,14506.2,1665,14534.3333333333,6.33969625191584,8.72919358516379,8.21441866236506,11.4556337866661
"191",2020-10-08,"PL","Poland","Europe",3003,107319,75,2792,"0",1451,15805,"0","0","0","0","0","0","0","0",1619.71428571429,16656.2857142857,1951,16457.2,1558,16092.3333333333,9.18063903827903,9.72434259052782,11.8549935590501,9.68162893303229
"192",2020-10-09,"PL","Poland","Europe",4280,111599,75,2867,"0",2313,18118,"0","0","0","0","0","0","0","0",2409.42857142857,19065.7142857143,2010.8,18468,2070.33333333333,18162.6666666667,12.7663097472127,12.6374943803387,10.8880225254494,11.3988401115842
"193",2020-10-10,"PL","Poland","Europe",4739,116338,52,2919,"0",2447,20565,"0","0","0","0","0","0","0","0",2098,21163.7142857143,2664.4,21132.4,2564.33333333333,20727,11.8988572817894,9.91319374130925,12.6081278037516,12.3719464144996
"194",2020-10-11,"PL","Poland","Europe",5300,121638,53,2972,"0",2933,23498,"0","0","0","0","0","0","0","0",2372.57142857143,23536.2857142857,2465,23597.4,3186,23913,12.481913354328,10.0804836301395,10.4460660920271,13.323296951449
"195",2020-10-12,"PL","Poland","Europe",4178,125816,32,3004,"0",4178,27676,"0","0","0","0","0","0","0","0",2668.57142857143,26204.8571428571,2568.8,26166.2,2521.66666666667,26434.6666666667,15.0961121549357,10.1834992422343,9.81724514832112,9.53924140018158
"196",2020-10-13,"PL","Poland","Europe",4394,130210,35,3039,"0",454,28130,"0","0","0","0","0","0","0","0",2883.71428571429,29088.5714285714,2784,28950.2,2488,28922.6666666667,1.61393530039104,9.91356448286023,9.61651387555181,8.60224967730039
"197",2020-10-14,"PL","Poland","Europe",5068,135278,62,3101,"0",2832,30962,"0","0","0","0","0","0","0","0",2957.85714285714,32046.4285714286,2961.2,31911.4,2269.66666666667,31192.3333333333,9.14669594987404,9.22991195809651,9.27944245630088,7.27636064417538
"198",2020-10-15,"PL","Poland","Europe",6526,141804,116,3217,"0",3523,34485,"0","0","0","0","0","0","0","0",3156.28571428571,35202.7142857143,2718.8,34630.2,3391.33333333333,34583.6666666667,10.2160359576628,8.96602940520009,7.85095090412415,9.80617054293453
"199",2020-10-16,"PL","Poland","Europe",8099,149903,91,3308,"0",3819,38304,"0","0","0","0","0","0","0","0",3182,38384.7142857143,3492.4,38122.6,3436,38019.6666666667,9.97023809523809,8.28975819987867,9.16097013320183,9.03742799779062
"200",2020-10-17,"PL","Poland","Europe",7705,157608,132,3440,"0",2966,41270,"0","0","0","0","0","0","0","0",3558.28571428571,41943,3797.6,41920.2,3702.33333333333,41722,7.18681851223649,8.48362233098661,9.05911708436506,8.87381557291917
"201",2020-10-18,"PL","Poland","Europe",9622,167230,84,3524,"0",4322,45592,"0","0","0","0","0","0","0","0",3757,45700,3710.6,45630.8,3882,45604,9.4797332865415,8.22100656455142,8.13178817816036,8.5124111920007
